youtube_id,label,year,transcript,num_words,duration_sec,language,n_frames,mean_brightness,std_brightness,mean_edge_density
sXiIRC31z-E,0,2014,"Hi there, my name is Jeff and this is Johnny and we are from a startup called Community Capital and Community Capital is an online platform that allows businesses to raise finance from their customers. So this was born out of the observation that larger businesses can raise money directly from their customers using unsecured retail bonds. Has two benefits for them, the first ones that are called a good rate on their bond and the second is that they engage their customers in a really effective way. So think of it this way, imagine that you'd lend money to your favorite business during the term of that loan. You'd always go back to that business because you'd lend the money, so it's a really great thing for that business and it locks the customers into long-term incentives. By lowering the transaction cost by doing it online, we're opening up a small and medium-sized businesses. Exactly. And it's also really great for the lenders too because for them, there's really no other financial instrument out there that allows them to tap into like a really emotional connection that they have with these businesses and these brands that they like, that they know and they shop at, while also giving them a really attractive financial return. So that's about Community Capital. Myself and Johnny, we met while working at a social venture fund and we've been working on Community Capital for the past couple months, so thanks for watching and take care.",251,79.296125,en,10,0.49174814224243163,0.22582305818796158,0.022026009298861025
rqe4GsIohMc,0,2017,"Hello, I see my name is Brandon, and I'm the founder and CEO of myriad. Myriad is a web platform that basically allows small and mid-size custom manufacturers to basically manage and collaborate with their own supply chain partners. We felt like there was an immense fragmentation between the manufacturers and other members of the supply chain, and felt like there's still so much room for innovation in an old industry like this. We're still developing our MVP, but we're trying to generate some interest, and so far we have around 400 suppliers that are willing to test out a product, and that number increases every single day. A little background on myself, I previously found a mild import export business, focused on industrial raw materials, and then I have two co-founders, one of them is Josh Lewinsky, who is the CTO, and Josh spent the majority of his career in the supply chain space with the big guys like JP Morgan and Lockie Martin, and Ricky, who spent his entire career in electronic manufacturing in Asia. We really are a team with different backgrounds of different aspects of the supply chain that's trying to tackle and solve the same issue that we think can be dramatically improved, and the reason why they couldn't be here today, sadly, is because one of them is traveling, and the other one is based in Taiwan because of the geographic advantages of being so close to the manufacturers there. So yeah, that's it, and I hope to see you guys in the valley.",260,76.416875,en,10,0.5088148266077042,0.2551632270216942,0.015860284492373467
75LDtNjpMY8,0,2017,"Hello, why combinator? The three of us here are co-founders at Flexible, all of us are engineers and our patchmates from a business school I am in the bath. However, we have quite diverse experiences. I for one have worked at Adobe and Amazon. I've worked in Jacobo and in Westfield back here for three years, but I've worked at Marthis Suzuki and CS Associates, and right now we are building the community of the best freelance designers, developers and writers in India. Over the past four months of commercialization, we have handpicked over 100 freelancers who work for over 1600 minars with our 15 plus clients, garnering us over 20,000 dollars in project work. Our startup Flexible is supported by a campus incubator CIE, which is promised us over 35,000 dollars in equity free grant. This office space that we work out of is also one on a scholarship, but now we want to take Flexible to the next level, and that's where YC features. We're really, really excited to interact with the best guys in the technologies field and really looking forward to this. Thank you very much.",190,57.4229375,en,10,0.36917791664600375,0.3651056319475174,0.021613766066730024
j6JXsndgd4Q,0,2018,"Hi, I'm Soneeshwar. Hi, I'm Shivani. Hi, I'm Arun. We'll go further further. We've been friends since 2010 being dominance in college. Post college, we started this company called Bhanalutics, which was a driving behavioral analytics startup. We were invited to interview for the Y-combinator summer 2017 batch. Next last month, we exited Bhanalutics to a larger telematics player entering India. Yeah. And while working on Bhanalutics, we interacted with a lot of drivers and blue collar workers at manufacturing plants in remote places in India. And what we realize is that these guys have a lot of difficulty discovering and sharing content. Keep in mind, these are the next 300 million users exploding onto the Indian Internet scene. And they currently find their content on Facebook or YouTube and then they use WhatsApp groups to share this. So instead, what we've done is we've created our DA, which is basically our vernacular video for social network, built around interest-based communities that can read it. We believe we are well placed to take advantage of this internal revolution happening in the country. And we are really excited to see you guys at Y-C. So, see you guys.",197,78.9943125,en,10,0.41180337965488434,0.2634360522031784,0.03212379775941372
c6rafET_Y6M,0,2018,"Hi, I'm Devo, I'm the CEO of ELives. I'm Daniel, I'm the CEO. And our product enables companies to optimize field profitability. We do this by connecting to their CRM system, getting sales and revenue data. And on the other side, connecting to their operational system, getting costs and resource data. Using this data, we analyze each deal to show its expected profitability, the different costs and how they're allocated, which enables our customers to optimize the profitability of each deal. Yeah, so we pitched this idea after several companies. One really loved it and became our first customer. We built our MVP together with this customer. And now we're showing our MVP to several other interested companies and we move ahead with them. My background is in strategic consulting, costing, and pricing for a large tech company and leading business development for a successful startup. And I'm basically a software engineer. And I've been doing that for the last 13 years or so. Thank you really looking forward to meet you and working with you. Yeah, bye bye.",179,65.7589375,en,10,0.5072569489479065,0.15362804532051086,0.014215775765478611
YK2X4P8Cshc,0,2018,"Hello, I'm Jose CEO and co-founder of The Moser. Hi, I'm Daniel and I'm the CMO and co-founder of The Moser. Hello, I'm Antonio Bernardino, I'm co-founder and CTO at The Moser. The Moser is a news content social media platform where people can discover their favorite news and start conversations and events around them. Our vision is to transform news into social experiences. So essentially, the Moser want to be the Facebook of news. So let's say we're now in Barcelona and there are a lot of news coming out about the referendum. So people could go to our app and read about those news. They could also start conversations to talk with other people about it and most importantly, they could start events to meet other people offline and they could start debates, they could start speeches, or they could even start a demonstration right from our app. We just launched the MVP a month ago and we have reached a total of 200 downloads. And we're still a baby, we know that, but we have received very positive feedback. So now we want to go on the street because there's a lot of people out there today and we want to end out these school players that we design about The Moser and saying yes to the future. See you in college, guys.",226,82.593375,en,10,0.5385346502065659,0.18216364681720734,0.022729753609746696
JJaRNxnl-gc,0,2018,"Hi, I'm Andy and I'm B. We're developers, salsa dancers and the founders of dance reality We teach dance using augmented reality from your smartphone We launched in September and have 9,000 users When I first was learning to dance I had a hard time even with the basic steps So when I heard that AR was becoming available on everybody's smartphones I thought what a great way to help people practice at home So I made a prototype of an app that uses virtual footprints on the floor in front of you that are animated I recorded a video and uploaded it and it went viral So the interest was there and we proceeded to build the app and since then we've been featured in the news in 18 different countries including on Forbes, Mashable, The Verge and Venture Beat We're taking the company to the next level and eventually adding martial arts yoga fitness and we'll become the leaders in immersive education technology Thanks for watching",168,64.3193125,en,10,0.28125734627246857,0.17355341017246245,0.02039405796676874
TUShPmc6sh0,0,2018,"Hi everyone, my name is Kimia, and I'm the founder and CEO of StyleSloot. StyleSloot is a digital media company focusing on women's lifestyle content. So our content ranges from style trends and beauty secrets to tips on how to be a badass in the workplace. I launched this company some 10 months ago with a team of amazing freelance editors and interns all working together to create a company and a media brand driven by purpose. And that mission driven piece is really incredibly important. Because when we work with brands, we really try and start a place where we celebrate individuality and confidence and ambition. An example of this is we team up with LVES, which is a digital investment platform for women. All to help women understand that they can take control of their financial futures. Our growth, we are now seeing about 70,000 unique visitors who come to StyleSloot.com every month. So yes, we're growing, but we want to grow faster, we want to grow at the speed of a Y-combinator company. So please accept us into the program and help us take StyleSloot to the next level.",192,61.556125,en,10,0.5949173092842102,0.30085296630859376,0.017806381918489933
kZYaE8xg4cM,0,2013,"Hi, my name's Hugh Malcolm. I'm co-founder of Huge City. I'm a strategy sales and marketing for Huge City I like to build things whether it be completely renovating my kitchen by myself Or building a territory sales territory for Phillips lighting Well, we quadruple the sales in three years. I'm Adam Wilson co-founder of Huge City I implemented the platform and the websites So I have in the past work for the CDC doing a enterprise software including emergency learning and communications and I worked for NASA doing interface prototyping for the Mars missions Hi, I'm Jonathan Nesbitt and I built the Huge City iPhone app Before that I built websites for large healthcare organizations and before that I built financial software for a large corporation and we'd love to be a part of you. Thank you Cool perfect timing",141,55.368,en,10,0.4503312617540359,0.2674600601196289,0.023213526606559752
isSnBsVsYsA,0,2018,"Hi, my name is Kyoko. I'm CEO and co-founder of Tech. Hello. I'm Yashikawa Toto. I'm a CEO and also co-founder of Tech. So Tech is a community platform that connects animal lovers, head owners, and those seeking pets to other pets. Their owners as well as shelters and rescue organizations. The shelter's rescue organizations are a big part of animal community today, but they're severely underfunded. They underserved the lack of visibility. They're over one and a half million animals euthanized each year as well as another two million animals being brought into shelters. So tag aims to connect these animals back to the community by bringing visibility to adopt the pets across the globe as well as facilitating potential crowd-finding donation opportunities. I'm a pet owner. My pet has an Instagram, but Instagram wasn't made for my pet. My only other options are dog-only or cat-only websites which are outdated or isolated apps that like ones that help me find my pet if we're ever to go missing or to track my pet wreckage. With tag, I'm able to have all of this in like one place and so am I going to start. So we hope you take us in consideration, and we hope you help us with our vision of making tag at home for every companion animal across the globe. Thanks.",226,66.7109375,en,10,0.5353291600942611,0.26843332350254057,0.01975747402757406
45fNbwNTcto,0,2018,"Haiwai kombinator, my name is Jean-Marine Krunziza, and I'm the fund of Tokyo AI. In Africa, mobile network operators are losing SMS and voice revenues every minute to all TT players such as WhatsApp, Skype, Facebook Messenger, Emo, and so on. But none of those mobile network operators are willing to innovate to fight those all TT players. So, at Tokyo AI, we've built a platform that's going to allow those M&Os to offer video and voice calling and chat to their subscribers with that public internet. But we've also built a machine learning back end that's going to allow those M&Os to offer better advertisements to their subscribers for other companies that means more revenues for them. But we also know that in Africa, 70% of people don't actually have bank accounts, but at least they have a feature phone and a SIM card. So, we are going to use our platform to offer better mobile money service. We've already acquired our first client and we are set to launch in October 2017. We are looking to be accepted into your program and hopefully funded so that we can grow our team and acquire more partners. Thank you.",199,69.636625,sw,10,0.6988972008228302,0.2996475130319595,0.012071066442877055
yP1ej0ZKxP4,0,2018,"Hi, I am Manosophara Founder and CEO of Suex, my background is an electrical engineering and business administration. After finishing my graduate studies, I joined the leading wireless power company where I'm responsible for the intellectual property. In great part due to my contribution, the company valuation increased from $15 million to $350 million today. Hi, I'm Zachariah Sueco Founder of Suex. My background is in product design and development. My experience stretches from building educational software, building enterprise solutions to solving manufacturing problems with machine learning. Suex is an AI and robotics company that has built the next automated chef for homes and restaurants. In essence, what we're doing is digitizing the kitchen to solve other problems in the food industry, problems such as precise cuts, food contamination and waste, nutrition analytics, and much, much more. We're augmenting home and restaurant cooks by removing the wrong aspects of cooking while leaving the interesting parts still in the game. Starting around us today is digitized generating enormous amounts of data at Suex, where digitized on the kitchen.",177,63.5065625,en,10,0.31939104199409485,0.16323196291923522,0.022937111742794513
ksmfCtHW7hs,0,2018,"Hi, why come on in there? We're our music everywhere. My name is Yem, the designer. I'm Pawn Engineer and I'm set the musical director. Our company is a spin-off of Carnegie Mellon University, created to fundamentally change how people play music. Learning to play musical instrument is, in fact, difficult, while summer trying to make it easier, by even the most conservative estimates, four of every five students who begin playing this year will quit before the year is done. We demonstrate our first ARP and learning citizen over the state and broad. From hundreds of users' feedback, we figure out that people they don't want to put in a time to learn an instrument. So instead of changing their behavior, we decided to adapt to it. It is possible with augmented reality, by providing a new AR instrumentation, user can easily follow along and then play the simplified version of the song, which they like, without any prior musical knowledge. So as a quick example, perhaps you want to be able to play your fiancé's favorite song on your wedding day. Music everywhere provides the tool to allow you to do just that instantly. Thank you, Ryoko, see you soon.",202,68.197,en,10,0.2727553278207779,0.24953532516956328,0.036023056507110594
wwk3iPfITJE,0,2018,"Hi everyone, my name is Umbudge and I'm a former Yahoo engineer working as a co-founder and CEO of Excursion. Along with my other co-founder, Jordan Gletley, who's in San Diego right now, we'll be moving up to the Bay Area in a month so we can work on this full-time together at the same place. So what is Excursion? Well, Excursion is an Augment Reality Ad Platform connecting sponsors and publishers, giving the publishers the ability to display 3D ads in the form of 3D models in their Augment Reality application, specifically on the iOS and Android platform, due to the advent of Augment Reality technologies, released by both Google and Apple recently, such as ARKit and ARCORE. In essence, it gives the publishers more incentives to create Augment Reality applications due to the monetizing they'll be able to do with a revenue sharing program. Thank you.",148,54.892,en,10,0.48627655804157255,0.266006863117218,0.018956981413066388
dl6qqGuOrCE,1,2017,"Hi, I'm Raphael, the CEO and co-founder at Lavon. I'm a next business school student, and I'm the guy who cracked the free acquisition channel to acquire our first 5,000 users for free. Hi, I'm Axel, the CEO and co-founder. I'm a next computer science student, and I'm the guy who developed the bot in less than two months. We have been friends with each other for six years, and we've been working on this project for one year and a half. The aborning is the going of guide. We provide a messenger bot that helps its users find the best electronic music events in Paris with a single message. Our ambition is to compete with Facebook events on a global scale. So far, we've built a community of more than 16,000 people on a Facebook group and on a blog in Paris. It helped us better understand our rackets and its needs, and it also helped us to acquire users for free. We also built a team of 15 volunteers that are really inspired by the project, and the bot is used by more than 4,000 weekly active users with more than 30% retention after two months. We think we can succeed where everybody failed in the going of guides based by combining three ingredients, a strong brand in opposition to what Facebook does, a delightful UX with new features that doesn't exist on the market yet. And finally, scalable technology. We leverage Facebook, Graph API to retrieve users' events and personal data. We also built our own scrapping technology to aggregate third-party data on events, and that let us build a strong recommendation and join at scale. So guys, we would be really happy to join you for LCD Summer and to fulfill our dreams. Thank you. Thank you.",301,115.2870625,en,10,0.5476302146911621,0.26034520119428634,0.025690834596753122
PuPWuB6PtqE,0,2018,"Hi, my computer. I'm Martin Sresher. I build a Raspberry Pi arcade game for my kid and brought me great joy to see smile in his face. Last month, at TechCrunch, we built our new power robot Wi-Cars as an emergency vehicle, dispatched, SMS triggered for our platform rescue me. I, with Masters degree, in engineering, 15 years of software development profession, university, knowledge from university, self-driving car program, machine learning, online course from Stanford. I am tuned up with my highly skilled and dynamic co-founders Neha and Zahm to build a SMS trigger just to release a rescue platform rescue me when we will be dispatching our real self-driving golf car. Last TechCrunch, we dispatched a robot Wi-Cars as an emergency vehicle. This 2018 Wi-community class will be dispatching a real golf car self-driving golf car as an emergency vehicle. Thank you.",143,56.5565,en,10,0.5354659855365753,0.3431078940629959,0.0410790953785181
QymSQWlI3oA,0,2018,"Hey, why a commentator? My name is Dylan Gray, CEO. I'm Clifton handy, CFO, and I'm Joshua Sony, CEO. And what a co-founder is infrared. Birds from a guy's trip to Charlotte for Josh's birthday, the infrared concept was born. Our limited access to the information we cared about before we went out, inspired our desire to create an environment where you can access, obtain and contribute real-time data on their night out. So we envisioned the application working like this. The user went to log on, select a particular venue, and through the use of geofencing technology, they sent the push notification once they arrived at this venue. When they get inside, they will stop that timer and it's all sent back to our databases. They'll also be sent a next-day survey where they can be asked a couple of questions, such as their experience within the particular venue. We gather all of this information by rewarding them through our IR drink specials and hookah specials. Right now, we're in a process of building our prototype with a local app development company here in the Atlanta, Georgia area. We look forward to meeting you all and having a great time sharing that concept. Thank you. Thanks.",207,57.3649375,en,10,0.5273695230484009,0.3268655687570572,0.015027476940304041
M89kJoLnsgc,0,2018,"Hi, I'm Rajas. This is Asmita Subhidi. This is Dr. Rajas Naik. We are the co-founder. Now Paila is a Nepal-based NGO, working in Ruler Health of Nepal. Currently, we are helping UNICEF Ministry of Health to reduce infant mortality rate. To create a uniformity in siloed treatment, we have created integrated management of siloed illness in our app. On the basis of the sign and symptoms provided, it automatically classifies the disease and indicates the severity of the disease. We have successfully piloted this in one district and in three months, we will be scaling up all over Nepal. Also, we are seeking to expand in other country as well. Thank you. Namaste.",114,44.1179375,en,10,0.47397337257862093,0.3269277423620224,0.025291658379137515
jXnl2GLqQ3c,0,2018,"Hey Y Combinator, my name is Mayor and I'm Julian and we are the founders of Borough So what's Borough all about? Borough is about a vision? It's a dream that Julian and I share and we really see a future where everything we need is on demand So for example if I wanted to go home tonight and Make some pasta. I can have a pasta maker delivered to me only when I need it for tonight and then delivered back And it's really a global vision that we want to have for an on-demand economy So we've been working on the project for just over a year and we're super excited to launch next month Not to mention we've been so fortunate to partner up with some awesome investors who really believe in us and the vision and We're super super super excited to get our final product into the hands of the consumers around the world Why see we can't wait to come work with you guys We've heard some awesome things and we really think that we can change the world together. Thank you. See you",190,60.09325,en,10,0.4637367844581604,0.28943594396114347,0.033017827197909355
_ngSmmB-yi8,0,2015,"Hi, I'm Rajas Lagovani. I'm the CEO, co-founder of iServe.io. I have around 15 years of work experience in designing and developing technology solutions. Around four years ago, when I realised the job in the city working for global investment banks in London was killing my creativity, I decided to begin this entrepreneur adventure. Last four years have been phenomenally fulfilling. I have learnt three programming languages. I did my MBA and I started two startups and built things for that. Hi, I'm Chandler Lagovani. I have around 14 years of experience in IT industry. I have started my career as a domain specialist in financial messaging and have grown from there and to product management role. Around four years back, I found data software development company wherein I worked closely with product owners, with product startup companies trying to make their products go live and converting their dreams lives. Now, we're a co-founder of iServe. I'm super excited and thrilled to be part of this journey. Welcome. The role of iServe is to create a platform between customers and companies. It is going to reduce the communication gap between them. We want to disrupt the after sale supports of the companies. We are a team of six members. We are based in India tech startup hub which is Bangalore. We are currently deep down into development making our initial prototype ready for web as well as on mobile. We are consistently in touch with our target audience. The consumers and the companies trying to get their feedback and involve our prototype with time. We are highly motivated and need your support. Yes, to make our dream come true. Thank you very much.",283,113.2901875,en,10,0.6547200441360473,0.3053893864154816,0.02725519482046366
lY3hoi1eizM,0,2018,"Hi, my name is Christo. I am the founder of Wearable Couture. This is a fashion venture that strives to impact the apparel industry within designing clothing that is more usable and functionally and stylistically suitable for people with disabilities, including people who as the age may have less hand-exterity or their sort of physical or physiological limitation. My inspiration comes from a lifetime of managing my own personal chronic health conditions but also some of my professional experience with working with kids with severe scoliosis and other conditions that made them wheelchair users such as Spina Vivida. I ended up doing my master's thesis work on disability and apparel. I got a lot of insightful information and I'm translating that research into action and have started creating a team of very inspirational designers for an astral and apparel design looking forward to the opportunity to apply.",147,58.816125,en,10,0.2932931661605835,0.20686135739088057,0.02384514082223177
Cs728xns3RI,0,2018,"Hi, I am Ravel Singh, our work on product development and strategy at Logout. I am Ratikutta, I work on a lot of technical stuff at Logout. I am Mohit Nagaryan, I take care of product design and the UI UX. So Logout is a weakly-like travel guide and a market place that anyone can discover, host and sell unique travel experiences and discover amazing places. We build tools that will be done in the Indian tourism sector. This is a second application at YC, a focus has shifted from a community-based model to a complete marketplace model. Thanks to inputs from YC partners. Actually, I met Adora and Gustav on their last visit to India. We started working closely on their suggestions and realized that there is a massive set of grassroots problems that need address on the host side. These problems are lack of technical know-hows in coming online, lack of good articulation skill in preparing good detaineries, lack of good promotion strategies. So, to target this, we have prototyped a feature that lets host roll out an itinerary in less than 10 minutes and share it across all platforms that he uses of his choice. Like WhatsApp and Pinterest, right from the dashboard therefore reducing time and efforts. So, 10 minutes of interaction with YC has helped us in streamlining our product, getting some initial traction and host and make some revenue while still being a private beta. Therefore, we look forward to the complete 3-month program. Thanks.",251,65.619625,en,10,0.4695306301116943,0.31314955949783324,0.016170062683522703
